Info[2023-11-4 9:26:6]CELLLog::setLogPath success,<clientLog.txt,w>
Debug[2023-11-4 9:26:6]thread<1>,start
Debug[2023-11-4 9:26:6]thread<2>,start
Debug[2023-11-4 9:26:6]thread<3>,start
Debug[2023-11-4 9:26:6]thread<4>,start
Debug[2023-11-4 9:26:7]thread<4>,Connect<begin=750, end=1000>
Debug[2023-11-4 9:26:7]thread<3>,Connect<begin=500, end=750>
Debug[2023-11-4 9:26:7]thread<2>,Connect<begin=250, end=500>
Debug[2023-11-4 9:26:7]thread<1>,Connect<begin=0, end=250>
Debug[2023-11-4 9:29:38]thread<4>,clients<1000>,time<1.003443>,send<9218>
Debug[2023-11-4 9:29:39]thread<4>,clients<1000>,time<1.000939>,send<9241>
Debug[2023-11-4 9:29:40]thread<4>,clients<1000>,time<1.012957>,send<9625>
Debug[2023-11-4 9:29:41]thread<4>,clients<1000>,time<1.001907>,send<9232>
Debug[2023-11-4 9:29:42]thread<4>,clients<1000>,time<1.014998>,send<9593>
Debug[2023-11-4 9:29:43]thread<4>,clients<1000>,time<1.014137>,send<9614>
Debug[2023-11-4 9:29:44]thread<4>,clients<1000>,time<1.008881>,send<9168>
Debug[2023-11-4 9:29:45]thread<4>,clients<1000>,time<1.012094>,send<9633>
Debug[2023-11-4 9:29:46]thread<4>,clients<1000>,time<1.001853>,send<9232>
Debug[2023-11-4 9:29:47]thread<4>,clients<1000>,time<1.001831>,send<9732>
Debug[2023-11-4 9:29:48]thread<4>,clients<1000>,time<1.011195>,send<9147>
Debug[2023-11-4 9:29:49]thread<4>,clients<1000>,time<1.001710>,send<9733>
Debug[2023-11-4 9:29:50]thread<4>,clients<1000>,time<1.006375>,send<9191>
Debug[2023-11-4 9:29:51]thread<4>,clients<1000>,time<1.000464>,send<9245>
Debug[2023-11-4 9:29:52]thread<4>,clients<1000>,time<1.013355>,send<9405>
Debug[2023-11-4 9:29:53]thread<4>,clients<1000>,time<1.000535>,send<9744>
Debug[2023-11-4 9:29:55]thread<4>,clients<1000>,time<1.009908>,send<9159>
Debug[2023-11-4 9:29:55]thread<4>,clients<1000>,time<1.000733>,send<9243>
Debug[2023-11-4 9:29:57]thread<4>,clients<1000>,time<1.004966>,send<9453>
Debug[2023-11-4 9:29:58]thread<4>,clients<1000>,time<1.013765>,send<9864>
Debug[2023-11-4 9:29:59]thread<4>,clients<1000>,time<1.000292>,send<9064>
Debug[2023-11-4 9:30:0]thread<4>,clients<1000>,time<1.003301>,send<9243>
Debug[2023-11-4 9:30:1]thread<4>,clients<1000>,time<1.000210>,send<9498>
Debug[2023-11-4 9:30:2]thread<4>,clients<1000>,time<1.010692>,send<9152>
Debug[2023-11-4 9:30:3]thread<4>,clients<1000>,time<1.013691>,send<9631>
Debug[2023-11-4 9:30:4]thread<4>,clients<1000>,time<1.013390>,send<9855>
Debug[2023-11-4 9:30:5]thread<4>,clients<1000>,time<1.000598>,send<8994>
Debug[2023-11-4 9:30:6]thread<4>,clients<1000>,time<1.001270>,send<9231>
Debug[2023-11-4 9:30:7]thread<4>,clients<1000>,time<1.004442>,send<9706>
Debug[2023-11-4 9:30:8]thread<4>,clients<1000>,time<1.014869>,send<9360>
Debug[2023-11-4 9:30:9]thread<4>,clients<1000>,time<1.001424>,send<9486>
Debug[2023-11-4 9:30:10]thread<4>,clients<1000>,time<1.005329>,send<9200>
Debug[2023-11-4 9:30:11]thread<4>,clients<1000>,time<1.002617>,send<9724>
Debug[2023-11-4 9:30:12]thread<4>,clients<1000>,time<1.014002>,send<9122>
Debug[2023-11-4 9:30:13]thread<4>,clients<1000>,time<1.012030>,send<9634>
Debug[2023-11-4 9:30:14]thread<4>,clients<1000>,time<1.001776>,send<9233>
Debug[2023-11-4 9:30:15]thread<4>,clients<1000>,time<1.010622>,send<9647>
Debug[2023-11-4 9:30:16]thread<4>,clients<1000>,time<1.001485>,send<9236>
Debug[2023-11-4 9:30:17]thread<4>,clients<1000>,time<1.001517>,send<9735>
Debug[2023-11-4 9:30:18]thread<4>,clients<1000>,time<1.001414>,send<9236>
Debug[2023-11-4 9:30:19]thread<4>,clients<1000>,time<1.002526>,send<9226>
Debug[2023-11-4 9:30:20]thread<4>,clients<1000>,time<1.013952>,send<9615>
Debug[2023-11-4 9:30:21]thread<4>,clients<1000>,time<1.019222>,send<9566>
Debug[2023-11-4 9:30:22]thread<4>,clients<1000>,time<1.011292>,send<9146>
Debug[2023-11-4 9:30:23]thread<4>,clients<1000>,time<1.000069>,send<9749>
Debug[2023-11-4 9:30:24]thread<4>,clients<1000>,time<1.002962>,send<9222>
Debug[2023-11-4 9:30:25]thread<4>,clients<1000>,time<1.002314>,send<9636>
Debug[2023-11-4 9:30:26]thread<4>,clients<1000>,time<1.003166>,send<9220>
Debug[2023-11-4 9:30:27]thread<4>,clients<1000>,time<1.002868>,send<9068>
Debug[2023-11-4 9:30:28]thread<4>,clients<1000>,time<1.002322>,send<9477>
